orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
1297,2023-02-24,2023-03-10,Delivered,725,3898.76,Debit Card
1298,2024-12-24,2025-01-03,Processing,450,4931.92,Debit Card
1299,2024-05-29,2024-06-05,Delivered,976,2167.44,PayPal
1300,2023-11-09,2023-11-22,Shipped,971,1563.02,Bank Transfer
1301,2023-04-03,2023-04-16,Shipped,79,3663.27,Credit Card
1302,2023-06-19,2023-07-01,Shipped,87,3729.88,Debit Card
1303,2023-01-11,2023-01-20,Pending,955,3667.45,Debit Card
1304,2024-05-24,2024-06-04,Pending,715,667.22,Credit Card
1305,2024-09-23,2024-09-29,Shipped,732,2153.65,Bank Transfer
1306,2023-09-08,2023-09-22,Pending,701,3065.51,Debit Card
1307,2023-06-22,2023-07-05,Pending,926,1164.09,Credit Card
1308,2024-01-11,2024-01-16,Pending,362,4764.79,Debit Card
1309,2024-05-22,2024-05-31,Processing,383,4850.16,Bank Transfer
1310,2024-11-26,2024-12-02,Pending,872,3843.75,Credit Card
1311,2023-10-25,2023-11-01,Cancelled,301,1360.52,Credit Card
1312,2024-10-08,2024-10-20,Cancelled,223,4619.13,Credit Card
1313,2024-04-19,2024-05-01,Cancelled,59,1810.93,Debit Card
1314,2023-12-03,2023-12-10,Delivered,110,75.51,PayPal
1315,2024-02-16,2024-02-24,Shipped,104,2182.48,PayPal
1316,2023-03-28,2023-04-08,Pending,921,810.87,Credit Card
1317,2024-05-14,2024-05-17,Processing,788,3300.34,PayPal
1318,2024-04-26,2024-05-05,Delivered,307,1854.25,PayPal
1319,2024-07-03,2024-07-10,Shipped,450,3298.58,Debit Card
1320,2023-06-15,2023-06-20,Delivered,766,2198.1,Bank Transfer
1321,2024-12-27,2025-01-02,Shipped,195,1460.25,PayPal
1322,2024-02-09,2024-02-18,Delivered,923,206.45,PayPal
1323,2024-05-05,2024-05-18,Delivered,122,2134.42,Debit Card
1324,2024-11-29,2024-12-13,Processing,333,3767.9,Debit Card
1325,2024-05-28,2024-06-11,Cancelled,135,593.18,Credit Card
1326,2023-01-22,2023-01-27,Processing,353,2525.0,PayPal
1327,2023-02-23,2023-03-08,Delivered,440,4883.37,Credit Card
1328,2024-03-20,2024-03-30,Delivered,289,2455.35,Debit Card
1329,2023-09-11,2023-09-23,Processing,747,2580.64,PayPal
1330,2023-10-15,2023-10-19,Delivered,718,1274.4,Debit Card
1331,2023-07-23,2023-08-02,Shipped,718,3665.76,PayPal
1332,2023-07-13,2023-07-25,Processing,235,646.28,Debit Card
1333,2023-02-09,2023-02-16,Processing,952,773.74,Credit Card
1334,2024-09-23,2024-09-29,Shipped,886,302.23,Debit Card
1335,2024-06-21,2024-06-28,Processing,228,1714.08,Debit Card
1336,2023-03-04,2023-03-15,Cancelled,660,305.69,Credit Card
1337,2023-10-03,2023-10-11,Delivered,966,1787.57,Debit Card
1338,2023-09-10,2023-09-18,Shipped,187,252.4,Credit Card
1339,2024-11-07,2024-11-21,Delivered,218,1462.32,Bank Transfer
1340,2024-09-13,2024-09-17,Cancelled,190,1298.7,Debit Card
1341,2024-01-08,2024-01-16,Delivered,115,529.59,Credit Card
1342,2024-11-30,2024-12-11,Processing,340,1834.82,Bank Transfer
1343,2024-08-26,2024-09-06,Pending,381,1229.35,Bank Transfer
1344,2023-08-04,2023-08-16,Cancelled,90,4441.61,PayPal
1345,2024-10-06,2024-10-20,Pending,124,253.14,PayPal
1346,2023-07-17,2023-07-31,Cancelled,948,538.26,Bank Transfer
1347,2023-11-05,2023-11-19,Cancelled,780,1049.9,PayPal
1348,2023-02-14,2023-02-19,Processing,429,2774.95,Bank Transfer
1349,2024-07-27,2024-08-04,Delivered,460,3167.83,Credit Card
1350,2024-03-22,2024-03-26,Cancelled,430,2642.63,Credit Card
1351,2023-06-20,2023-07-02,Delivered,714,4839.06,Bank Transfer
1352,2023-02-16,2023-02-28,Shipped,814,4863.75,PayPal
1353,2024-02-12,2024-02-22,Pending,892,2591.76,Credit Card
1354,2023-06-19,2023-06-29,Pending,394,2834.37,Debit Card
1355,2024-02-15,2024-02-27,Delivered,212,961.13,PayPal
1356,2024-08-08,2024-08-14,Pending,714,93.86,Debit Card
1357,2024-05-30,2024-06-13,Pending,266,1551.88,PayPal
1358,2023-10-31,2023-11-14,Delivered,566,639.56,PayPal
1359,2023-02-16,2023-02-27,Processing,299,243.5,PayPal
1360,2023-10-12,2023-10-17,Delivered,895,3963.58,PayPal
1361,2023-08-04,2023-08-15,Shipped,2,3260.8,Bank Transfer
1362,2023-11-29,2023-12-03,Pending,271,3624.29,Debit Card
1363,2024-09-18,2024-09-25,Delivered,59,3148.48,Credit Card
1364,2023-12-31,2024-01-06,Delivered,181,1317.14,Credit Card
1365,2024-07-04,2024-07-17,Pending,109,3626.88,Debit Card
1366,2024-10-31,2024-11-07,Pending,565,1070.49,Debit Card
1367,2023-08-14,2023-08-22,Delivered,209,2929.24,Debit Card
1368,2023-06-09,2023-06-19,Processing,748,3645.12,Bank Transfer
1369,2023-06-01,2023-06-11,Shipped,508,948.49,PayPal
1370,2023-06-30,2023-07-06,Pending,503,4719.61,PayPal
1371,2024-10-25,2024-11-01,Shipped,318,856.45,PayPal
1372,2024-02-08,2024-02-21,Pending,193,393.8,Credit Card
1373,2024-03-12,2024-03-18,Cancelled,931,3243.34,Debit Card
1374,2023-04-13,2023-04-27,Pending,141,3647.48,Credit Card
1375,2024-09-09,2024-09-13,Cancelled,394,152.54,Credit Card
1376,2024-10-21,2024-10-24,Processing,255,3862.08,Bank Transfer
1377,2023-05-27,2023-06-09,Pending,14,3972.38,Credit Card
1378,2023-04-19,2023-04-30,Delivered,874,3551.91,PayPal
1379,2023-05-23,2023-06-02,Pending,914,2249.41,PayPal
1380,2023-11-11,2023-11-19,Cancelled,159,1256.85,Bank Transfer
1381,2024-10-04,2024-10-15,Shipped,22,4133.38,Credit Card
1382,2024-07-11,2024-07-18,Shipped,524,4437.96,Debit Card
1383,2023-05-26,2023-05-29,Processing,25,1172.04,Debit Card
1384,2023-05-31,2023-06-08,Delivered,232,4612.37,Debit Card
1385,2024-12-04,2024-12-18,Shipped,504,889.32,Credit Card
1386,2023-08-18,2023-08-22,Delivered,366,427.64,Bank Transfer
1387,2023-05-02,2023-05-10,Shipped,918,264.57,PayPal
1388,2023-07-02,2023-07-11,Pending,343,3018.08,Debit Card
1389,2023-06-03,2023-06-16,Delivered,640,4096.93,Bank Transfer
1390,2023-04-17,2023-04-24,Cancelled,678,1877.11,Bank Transfer
1391,2024-12-29,2025-01-02,Shipped,883,4668.82,PayPal
1392,2024-11-02,2024-11-07,Delivered,152,1983.47,Debit Card
1393,2023-03-10,2023-03-14,Pending,438,4799.95,Bank Transfer
1394,2023-05-29,2023-06-02,Delivered,131,950.27,Debit Card
1395,2023-12-28,2024-01-05,Cancelled,435,2432.38,Debit Card
1396,2024-09-08,2024-09-21,Delivered,142,4020.6,PayPal
1397,2024-01-28,2024-02-06,Pending,510,2716.8,Debit Card
1398,2024-06-29,2024-07-10,Processing,394,463.91,Debit Card
1399,2024-06-23,2024-07-05,Processing,720,481.89,Bank Transfer
1400,2023-01-03,2023-01-09,Shipped,372,2813.95,PayPal
1401,2023-04-23,2023-04-26,Delivered,370,4251.32,PayPal
1402,2023-10-29,2023-11-08,Processing,856,4273.9,Debit Card
1403,2023-09-06,2023-09-12,Processing,58,3747.63,Credit Card
1404,2024-12-13,2024-12-27,Processing,387,3678.75,Debit Card
1405,2024-01-16,2024-01-19,Shipped,679,2928.96,Debit Card
1406,2024-08-31,2024-09-05,Shipped,151,1857.96,Credit Card
1407,2023-09-08,2023-09-12,Shipped,583,4163.79,Debit Card
1408,2023-06-03,2023-06-08,Cancelled,762,743.56,Bank Transfer
1409,2024-04-26,2024-05-05,Delivered,455,3917.91,Credit Card
1410,2023-10-21,2023-10-25,Processing,62,4411.73,Credit Card
1411,2024-09-10,2024-09-15,Pending,165,103.79,Debit Card
1412,2024-11-27,2024-12-07,Pending,729,4156.12,Bank Transfer
1413,2024-12-27,2025-01-02,Cancelled,954,826.16,Credit Card
1414,2024-06-18,2024-06-27,Processing,761,1098.73,Credit Card
1415,2023-08-13,2023-08-22,Processing,843,3742.68,Credit Card
1416,2024-12-10,2024-12-20,Cancelled,321,3280.86,Debit Card
1417,2024-01-25,2024-01-30,Shipped,823,1888.82,Debit Card
1418,2023-07-19,2023-07-26,Shipped,107,435.15,Bank Transfer
1419,2023-01-29,2023-02-04,Delivered,167,2730.76,Credit Card
1420,2023-08-05,2023-08-17,Shipped,775,4552.95,PayPal
1421,2024-07-18,2024-07-24,Shipped,247,1382.38,Credit Card
1422,2024-07-31,2024-08-10,Shipped,50,1607.17,Bank Transfer
1423,2023-01-09,2023-01-17,Delivered,982,2020.78,PayPal
1424,2023-11-19,2023-11-28,Delivered,998,691.11,Credit Card
1425,2023-12-06,2023-12-15,Pending,104,2535.78,PayPal
1426,2023-01-25,2023-02-06,Cancelled,489,2952.47,Credit Card
1427,2023-10-25,2023-10-30,Processing,699,2342.38,Credit Card
1428,2023-08-26,2023-09-01,Processing,788,3606.84,Bank Transfer
1429,2024-04-03,2024-04-08,Delivered,298,1833.57,Debit Card
1430,2023-02-10,2023-02-24,Cancelled,245,1083.66,Credit Card
1431,2023-06-06,2023-06-18,Cancelled,100,4033.4,PayPal
1432,2023-11-13,2023-11-24,Shipped,511,515.86,Bank Transfer
1433,2023-06-23,2023-06-30,Processing,70,1436.58,Bank Transfer
1434,2023-12-28,2024-01-01,Shipped,184,3567.74,Debit Card
1435,2023-09-22,2023-10-02,Delivered,782,4389.46,PayPal
1436,2023-05-07,2023-05-19,Cancelled,41,1849.19,Bank Transfer
1437,2024-02-15,2024-02-24,Pending,940,3418.89,Debit Card
1438,2024-01-11,2024-01-22,Pending,975,1602.54,Credit Card
1439,2024-11-29,2024-12-08,Pending,461,1351.0,Credit Card
1440,2024-09-27,2024-10-10,Shipped,759,3963.42,Credit Card
1441,2023-06-08,2023-06-12,Delivered,385,833.12,Debit Card
1442,2023-03-16,2023-03-22,Cancelled,896,2338.28,Credit Card
1443,2023-12-24,2024-01-03,Cancelled,658,2698.82,Debit Card
1444,2023-04-22,2023-04-26,Processing,750,586.32,Debit Card
1445,2024-03-19,2024-03-25,Cancelled,337,369.13,Bank Transfer
1446,2024-09-10,2024-09-20,Processing,720,3719.36,Credit Card
1447,2023-10-13,2023-10-23,Shipped,559,820.92,Debit Card
1448,2023-05-30,2023-06-12,Processing,328,2862.62,Debit Card
1449,2023-03-05,2023-03-13,Cancelled,485,1106.43,PayPal
1450,2023-01-24,2023-02-06,Cancelled,277,1297.75,PayPal
1451,2023-03-27,2023-04-01,Shipped,281,2055.09,Bank Transfer
1452,2024-12-30,2025-01-09,Cancelled,538,1109.82,Bank Transfer
1453,2023-07-08,2023-07-11,Shipped,917,4513.13,Bank Transfer
1454,2023-11-01,2023-11-06,Processing,358,4712.61,Debit Card
1455,2024-05-01,2024-05-12,Processing,989,3498.62,Bank Transfer
1456,2024-12-10,2024-12-22,Cancelled,843,99.16,PayPal
1457,2023-03-21,2023-04-04,Pending,632,765.86,Bank Transfer
1458,2023-01-15,2023-01-20,Cancelled,957,780.06,Bank Transfer
1459,2023-04-27,2023-05-10,Cancelled,270,2627.42,Credit Card
1460,2024-04-06,2024-04-11,Cancelled,655,4848.81,Credit Card
1461,2023-02-07,2023-02-13,Processing,431,3497.41,PayPal
1462,2024-09-07,2024-09-16,Processing,357,1088.33,PayPal
1463,2024-11-26,2024-12-08,Shipped,380,4078.21,Credit Card
1464,2023-11-06,2023-11-13,Pending,839,4345.4,Debit Card
1465,2024-10-26,2024-11-05,Cancelled,421,1791.06,Debit Card
1466,2024-06-19,2024-06-27,Shipped,949,920.28,Debit Card
1467,2024-01-18,2024-01-23,Pending,610,855.15,Debit Card
1468,2024-01-26,2024-02-02,Cancelled,650,1452.08,Credit Card
1469,2023-03-31,2023-04-04,Shipped,666,131.31,Debit Card
1470,2023-04-17,2023-04-27,Pending,950,2746.43,Debit Card
1471,2024-05-30,2024-06-11,Shipped,684,1485.03,Debit Card
1472,2023-08-05,2023-08-11,Cancelled,565,1936.35,PayPal
1473,2024-04-25,2024-04-29,Delivered,991,3979.07,Debit Card
1474,2024-02-27,2024-03-11,Cancelled,8,4701.1,PayPal
1475,2024-06-03,2024-06-10,Delivered,901,3310.48,Bank Transfer
1476,2024-02-29,2024-03-13,Processing,5,4505.93,Debit Card
1477,2023-02-03,2023-02-06,Shipped,158,3963.03,Bank Transfer
1478,2023-12-10,2023-12-15,Pending,441,1247.06,Debit Card
1479,2023-07-17,2023-07-29,Cancelled,849,305.33,Debit Card
1480,2023-05-12,2023-05-25,Cancelled,746,909.9,Bank Transfer
1481,2024-06-13,2024-06-18,Cancelled,237,542.91,PayPal
1482,2024-05-31,2024-06-04,Pending,804,1990.46,Bank Transfer
1483,2024-07-20,2024-07-25,Delivered,209,511.61,Credit Card
1484,2024-03-23,2024-03-26,Pending,157,187.7,Credit Card
1485,2024-08-08,2024-08-17,Shipped,761,3684.14,Debit Card
1486,2024-10-11,2024-10-24,Delivered,192,1236.62,PayPal
1487,2023-11-01,2023-11-07,Pending,861,1264.01,Debit Card
1488,2023-09-24,2023-10-07,Shipped,282,460.67,PayPal
1489,2024-10-04,2024-10-07,Pending,888,561.93,Debit Card
1490,2024-09-02,2024-09-06,Shipped,146,1448.19,PayPal
1491,2023-04-06,2023-04-10,Cancelled,865,1838.92,PayPal
1492,2024-02-05,2024-02-09,Cancelled,815,158.69,Credit Card
1493,2024-05-13,2024-05-26,Shipped,216,3452.32,Debit Card
1494,2023-11-18,2023-12-01,Cancelled,828,847.46,Bank Transfer
1495,2023-01-11,2023-01-16,Pending,647,3052.94,Credit Card
1496,2023-05-01,2023-05-09,Delivered,496,4974.83,Credit Card
1497,2023-06-12,2023-06-23,Delivered,949,651.89,Credit Card
1498,2024-07-02,2024-07-05,Pending,525,3816.76,PayPal
1499,2024-01-09,2024-01-13,Processing,31,1671.32,PayPal
1500,2023-03-27,2023-04-10,Processing,275,1404.65,PayPal
1501,2023-04-05,2023-04-13,Pending,668,1506.89,Debit Card
1502,2024-03-22,2024-04-02,Cancelled,945,1005.62,PayPal
1503,2023-07-22,2023-08-04,Delivered,985,1994.49,Bank Transfer
1504,2023-06-19,2023-06-25,Cancelled,444,4420.14,Debit Card
1505,2024-09-02,2024-09-16,Delivered,836,1627.81,Credit Card
1506,2024-09-13,2024-09-22,Cancelled,205,2857.35,Bank Transfer
1507,2024-10-09,2024-10-13,Cancelled,172,4452.78,Bank Transfer
1508,2024-08-23,2024-09-01,Delivered,619,4142.1,Bank Transfer
1509,2024-02-12,2024-02-15,Shipped,185,4054.75,Debit Card
1510,2023-07-10,2023-07-18,Processing,75,1115.16,Bank Transfer
1511,2024-01-16,2024-01-21,Delivered,126,97.68,Credit Card
1512,2023-12-03,2023-12-09,Cancelled,582,3986.44,PayPal
1513,2024-07-29,2024-08-02,Cancelled,291,3028.92,PayPal
1514,2023-04-16,2023-04-27,Delivered,734,3059.13,Credit Card
1515,2024-08-10,2024-08-23,Cancelled,699,3793.2,Bank Transfer
1516,2023-11-24,2023-11-30,Processing,51,4023.49,Debit Card
1517,2023-02-17,2023-02-24,Cancelled,123,664.26,PayPal
1518,2024-09-07,2024-09-15,Pending,393,1220.29,Credit Card
1519,2023-10-19,2023-10-22,Pending,5,4562.63,Bank Transfer
1520,2023-05-15,2023-05-24,Shipped,918,2690.66,Credit Card
1521,2023-12-12,2023-12-25,Shipped,72,2375.97,Debit Card
1522,2023-11-05,2023-11-12,Delivered,772,1761.83,Credit Card
1523,2024-07-23,2024-07-31,Cancelled,628,283.01,Bank Transfer
1524,2024-12-14,2024-12-24,Cancelled,870,3223.43,Credit Card
1525,2024-01-18,2024-01-30,Shipped,30,1158.87,Credit Card
1526,2023-05-23,2023-05-27,Delivered,883,3453.61,Debit Card
1527,2023-08-20,2023-08-25,Shipped,196,3634.33,Bank Transfer
1528,2024-07-04,2024-07-07,Shipped,266,4422.43,Credit Card
1529,2023-04-24,2023-04-27,Delivered,77,1355.45,Debit Card
1530,2023-10-04,2023-10-18,Processing,948,731.93,Debit Card
1531,2023-05-03,2023-05-08,Delivered,883,782.61,Debit Card
1532,2024-10-14,2024-10-24,Shipped,535,2661.57,Debit Card
1533,2024-11-08,2024-11-18,Delivered,330,3874.59,Debit Card
1534,2023-08-20,2023-08-24,Delivered,785,1516.36,Credit Card
1535,2023-12-28,2024-01-08,Processing,676,3253.31,PayPal
1536,2024-12-12,2024-12-16,Shipped,996,2498.3,PayPal
1537,2023-01-14,2023-01-27,Processing,480,4101.63,PayPal
1538,2024-05-14,2024-05-18,Delivered,214,4079.28,Bank Transfer
1539,2023-11-16,2023-11-30,Cancelled,672,812.29,Credit Card
1540,2023-05-14,2023-05-20,Delivered,395,4876.57,PayPal
1541,2024-02-14,2024-02-20,Shipped,285,2144.32,Bank Transfer
1542,2024-08-14,2024-08-27,Shipped,151,2331.72,Credit Card
1543,2023-04-23,2023-04-29,Shipped,916,2331.19,Bank Transfer
1544,2023-01-30,2023-02-09,Pending,464,1792.19,Credit Card
1545,2024-07-17,2024-07-21,Delivered,442,1099.73,Debit Card
1546,2024-05-29,2024-06-07,Pending,342,313.13,Bank Transfer
1547,2024-01-14,2024-01-18,Shipped,665,1943.49,Debit Card
1548,2023-07-18,2023-07-25,Processing,413,924.39,Bank Transfer
1549,2024-06-26,2024-07-08,Cancelled,532,2196.15,Credit Card
1550,2024-10-23,2024-10-29,Shipped,225,620.18,Credit Card
1551,2024-08-12,2024-08-19,Processing,68,2684.05,Bank Transfer
1552,2023-08-20,2023-09-01,Cancelled,402,1994.78,PayPal
1553,2024-12-09,2024-12-16,Cancelled,211,896.59,PayPal
1554,2023-12-22,2024-01-04,Delivered,723,3001.75,Credit Card
1555,2023-04-07,2023-04-12,Pending,930,3517.33,Debit Card
1556,2023-11-09,2023-11-23,Processing,175,1609.81,Credit Card
1557,2023-06-20,2023-06-25,Delivered,922,2303.32,Credit Card
1558,2024-11-13,2024-11-23,Cancelled,343,153.09,Bank Transfer
1559,2023-03-20,2023-03-25,Shipped,609,1793.11,Debit Card
1560,2024-08-20,2024-08-23,Cancelled,895,1275.18,Credit Card
1561,2023-02-16,2023-02-19,Pending,697,4952.54,PayPal
1562,2024-06-21,2024-07-02,Processing,774,775.59,Credit Card
1563,2023-04-13,2023-04-20,Delivered,464,2478.78,Bank Transfer
1564,2024-07-12,2024-07-19,Cancelled,260,1853.23,Credit Card
1565,2023-12-28,2024-01-04,Delivered,913,2613.26,Debit Card
1566,2023-04-26,2023-05-03,Pending,746,3217.01,PayPal
1567,2024-02-25,2024-03-02,Processing,366,2514.27,PayPal
1568,2024-08-14,2024-08-28,Cancelled,369,1071.22,Credit Card
1569,2023-07-18,2023-07-27,Shipped,989,1405.92,Debit Card
1570,2024-06-23,2024-06-28,Delivered,933,3411.38,Bank Transfer
1571,2024-02-05,2024-02-17,Cancelled,968,4970.02,Bank Transfer
1572,2023-07-15,2023-07-18,Pending,533,3524.09,Credit Card
1573,2024-03-19,2024-03-29,Pending,992,3973.0,Bank Transfer
1574,2023-10-23,2023-10-27,Shipped,511,4639.8,PayPal
1575,2024-04-22,2024-05-05,Processing,536,4835.02,PayPal
1576,2023-11-07,2023-11-17,Delivered,67,4008.94,Credit Card
1577,2024-04-09,2024-04-12,Processing,290,4136.08,Credit Card
1578,2023-02-24,2023-03-06,Delivered,6,2180.1,Credit Card
1579,2023-02-21,2023-02-28,Processing,359,4399.67,PayPal
1580,2023-03-30,2023-04-13,Delivered,147,4979.78,PayPal
1581,2024-03-18,2024-03-30,Shipped,298,1133.35,Debit Card
1582,2023-12-30,2024-01-05,Cancelled,433,2025.61,Credit Card
1583,2023-09-25,2023-10-02,Pending,319,907.84,Debit Card
1584,2024-11-26,2024-12-04,Pending,143,3432.44,PayPal
1585,2023-09-14,2023-09-19,Cancelled,568,1037.64,Bank Transfer
1586,2023-03-29,2023-04-05,Pending,950,3160.18,PayPal
1587,2024-01-20,2024-01-29,Shipped,142,2656.53,Bank Transfer
1588,2024-05-30,2024-06-12,Delivered,480,1803.26,Debit Card
1589,2024-03-06,2024-03-15,Cancelled,29,4567.16,Credit Card
1590,2024-03-07,2024-03-11,Processing,630,4538.9,PayPal
1591,2024-08-17,2024-08-28,Delivered,131,3123.4,Bank Transfer
1592,2023-02-24,2023-03-05,Processing,413,3366.89,Debit Card
1593,2024-06-14,2024-06-24,Shipped,87,320.73,Credit Card
1594,2023-12-08,2023-12-20,Shipped,842,1488.36,Debit Card
1595,2024-12-08,2024-12-16,Shipped,125,3715.34,Credit Card
1596,2024-12-19,2024-12-25,Pending,148,2832.14,Debit Card
1597,2023-05-20,2023-05-26,Processing,309,3159.79,Credit Card
1598,2024-05-11,2024-05-23,Processing,118,382.35,PayPal
1599,2024-09-10,2024-09-14,Pending,100,1273.67,Credit Card
1600,2024-04-30,2024-05-03,Pending,455,1984.03,Credit Card
1601,2023-11-04,2023-11-13,Cancelled,189,4110.34,Bank Transfer
1602,2024-09-19,2024-10-02,Cancelled,880,3307.89,Credit Card
1603,2024-03-18,2024-03-23,Shipped,190,751.35,PayPal
1604,2023-06-24,2023-07-05,Pending,206,2406.98,Bank Transfer
1605,2023-10-24,2023-11-06,Shipped,983,2964.38,Bank Transfer
1606,2024-11-14,2024-11-21,Cancelled,396,3503.38,Credit Card
1607,2024-04-20,2024-04-29,Cancelled,152,188.45,Debit Card
1608,2023-05-04,2023-05-16,Cancelled,12,2923.66,Credit Card
1609,2024-10-22,2024-11-04,Pending,456,261.03,Bank Transfer
1610,2023-05-23,2023-06-02,Cancelled,284,95.14,PayPal
1611,2024-01-02,2024-01-13,Pending,216,1776.73,Debit Card
1612,2024-06-09,2024-06-13,Processing,672,799.44,Bank Transfer
1613,2024-04-15,2024-04-29,Processing,286,3935.56,Bank Transfer
1614,2024-02-08,2024-02-12,Cancelled,386,4814.65,PayPal
1615,2024-08-12,2024-08-26,Pending,795,3311.58,Bank Transfer
1616,2023-05-13,2023-05-27,Delivered,603,4778.21,Bank Transfer
1617,2024-08-21,2024-09-02,Cancelled,70,272.4,PayPal
1618,2023-08-26,2023-08-30,Shipped,512,4674.46,Debit Card
1619,2023-11-28,2023-12-04,Processing,108,4503.98,PayPal
1620,2024-01-29,2024-02-07,Shipped,64,3078.92,Credit Card
1621,2023-02-08,2023-02-22,Shipped,453,3828.59,Credit Card
1622,2023-06-28,2023-07-06,Shipped,716,2275.07,PayPal
1623,2024-10-14,2024-10-26,Pending,205,1018.8,Debit Card
1624,2024-03-24,2024-04-06,Delivered,231,1045.9,PayPal
1625,2024-03-20,2024-03-31,Processing,89,2931.43,Credit Card
1626,2023-07-28,2023-07-31,Processing,915,75.92,Debit Card
1627,2024-08-04,2024-08-15,Shipped,349,967.26,Debit Card
1628,2023-07-14,2023-07-20,Pending,848,2394.98,Bank Transfer
1629,2024-01-01,2024-01-13,Pending,874,732.47,Credit Card
1630,2024-03-25,2024-04-03,Cancelled,895,400.79,Credit Card
1631,2023-05-11,2023-05-22,Delivered,104,633.74,PayPal
1632,2023-02-22,2023-03-06,Pending,339,161.59,Bank Transfer
1633,2023-09-15,2023-09-24,Delivered,70,4368.59,PayPal
1634,2023-10-22,2023-10-26,Pending,590,1244.92,Bank Transfer
1635,2024-02-13,2024-02-25,Shipped,560,3502.71,Credit Card
1636,2024-08-19,2024-08-29,Delivered,669,198.39,Bank Transfer
1637,2024-03-07,2024-03-14,Processing,343,4445.74,Credit Card
1638,2023-05-23,2023-05-29,Pending,837,3682.67,Credit Card
1639,2023-08-30,2023-09-09,Shipped,825,4742.59,Credit Card
1640,2023-12-21,2023-12-25,Cancelled,613,3709.48,Credit Card
1641,2024-07-18,2024-07-28,Processing,278,3630.48,Credit Card
1642,2023-02-06,2023-02-16,Pending,231,3269.17,Debit Card
1643,2024-05-04,2024-05-11,Processing,22,4659.67,Credit Card
1644,2023-07-20,2023-07-31,Pending,881,1927.97,Credit Card
1645,2024-07-19,2024-07-29,Shipped,397,3840.12,PayPal
1646,2024-03-16,2024-03-30,Cancelled,563,731.96,Debit Card
1647,2023-05-01,2023-05-13,Delivered,361,1008.55,Debit Card
1648,2023-03-01,2023-03-07,Processing,95,2963.66,PayPal
1649,2024-02-27,2024-03-12,Pending,582,276.61,Credit Card
1650,2023-09-13,2023-09-16,Shipped,59,677.24,PayPal
1651,2023-10-17,2023-10-20,Delivered,359,3031.96,PayPal
1652,2023-10-27,2023-11-01,Pending,408,2419.57,Credit Card
1653,2024-11-03,2024-11-07,Shipped,257,4694.93,PayPal
1654,2024-05-21,2024-06-04,Delivered,920,4579.75,PayPal
1655,2024-03-30,2024-04-13,Delivered,965,1866.32,Bank Transfer
1656,2024-10-31,2024-11-06,Pending,915,1374.3,Credit Card
1657,2023-02-25,2023-03-05,Cancelled,723,4755.29,Debit Card
1658,2023-10-14,2023-10-18,Processing,934,728.8,PayPal
1659,2023-11-09,2023-11-23,Pending,216,657.6,PayPal
1660,2023-02-06,2023-02-12,Cancelled,666,3832.75,Credit Card
1661,2023-01-22,2023-02-01,Shipped,277,1425.94,Debit Card
1662,2023-11-04,2023-11-08,Shipped,286,4280.14,Debit Card
1663,2024-05-22,2024-05-25,Cancelled,394,2247.9,PayPal
1664,2023-07-30,2023-08-08,Processing,676,2183.87,Credit Card
1665,2024-11-07,2024-11-14,Shipped,555,3826.83,Credit Card
1666,2024-09-15,2024-09-23,Delivered,830,3778.93,PayPal
1667,2023-01-29,2023-02-06,Pending,445,4335.42,Credit Card
1668,2023-04-22,2023-05-03,Cancelled,976,3620.42,Bank Transfer
1669,2024-07-01,2024-07-11,Cancelled,587,3610.14,Bank Transfer
1670,2023-06-16,2023-06-25,Cancelled,764,4963.43,PayPal
1671,2023-05-16,2023-05-19,Delivered,819,3428.86,Bank Transfer
1672,2023-03-29,2023-04-04,Pending,303,1720.79,Debit Card
1673,2023-02-09,2023-02-21,Delivered,371,1380.3,Bank Transfer
1674,2024-10-30,2024-11-11,Shipped,128,1569.13,Bank Transfer
1675,2023-09-28,2023-10-03,Cancelled,474,135.47,Credit Card
1676,2024-04-22,2024-04-25,Delivered,492,3206.83,PayPal
1677,2024-02-23,2024-02-26,Pending,962,443.76,Bank Transfer
1678,2023-03-07,2023-03-17,Processing,265,3841.59,Bank Transfer
1679,2023-09-23,2023-10-03,Processing,233,3170.17,PayPal
1680,2024-09-24,2024-10-07,Shipped,239,616.51,Credit Card
1681,2023-07-08,2023-07-21,Pending,882,2229.53,Bank Transfer
1682,2023-02-12,2023-02-23,Processing,63,4760.93,Bank Transfer
1683,2023-09-21,2023-09-24,Delivered,554,3605.68,PayPal
1684,2023-12-25,2023-12-29,Shipped,520,2246.87,Credit Card
1685,2023-08-31,2023-09-06,Delivered,585,1888.23,Debit Card
1686,2023-03-15,2023-03-28,Cancelled,897,1451.27,Credit Card
1687,2023-12-01,2023-12-13,Delivered,344,4876.74,Bank Transfer
1688,2024-04-26,2024-05-03,Pending,32,843.55,Credit Card
1689,2023-10-25,2023-10-30,Pending,27,575.85,PayPal
1690,2023-11-17,2023-11-28,Pending,803,2928.36,Bank Transfer
1691,2023-08-09,2023-08-18,Pending,34,3302.44,PayPal
1692,2024-01-26,2024-02-08,Shipped,979,432.69,PayPal
1693,2024-08-01,2024-08-12,Pending,646,2763.75,Debit Card
1694,2024-07-05,2024-07-19,Shipped,868,4398.47,Credit Card
1695,2024-09-13,2024-09-23,Pending,533,2233.04,Bank Transfer
1696,2023-07-19,2023-07-31,Delivered,933,1257.94,PayPal
1697,2024-01-06,2024-01-12,Cancelled,323,3753.53,Credit Card
